,y_train,y_train_pred,y_dev,y_dev_pred,y_test,y_test_pred
2017-05-17,118.0,127.92736310406282,,,,
2017-05-18,115.0,116.41801842774018,,,,
2017-05-19,169.0,155.49483247377898,,,,
2017-05-20,130.0,120.87541614943294,,,,
2017-05-21,162.0,132.1601139925765,,,,
2017-05-22,145.0,143.04391128624903,,,,
2017-05-23,114.0,137.47687948952156,,,,
2017-05-24,117.0,126.50010080975258,,,,
2017-05-25,127.0,121.30435578853269,,,,
2017-05-26,147.0,162.6306037513762,,,,
2017-05-27,118.0,114.66717307670044,,,,
2017-05-28,130.0,125.40758259860422,,,,
2017-05-29,148.0,128.24545124415238,,,,
2017-05-30,145.0,142.53698369225393,,,,
2017-05-31,138.0,132.15430645844498,,,,
2017-06-01,136.0,126.19725982175811,,,,
2017-06-02,150.0,162.01262062078646,,,,
