date,y_train_xgboost,y_train_pred_xgboost,y_dev_xgboost,y_dev_pred_xgboost,y_test_xgboost,y_test_pred_xgboost,y_train_arima,y_train_pred_arima,y_dev_arima,y_dev_pred_arima,y_test_arima,y_test_pred_arima
2015-10-04,119.0,129.47539,,,,,119.0,129.47539,,,,
2015-10-05,159.0,145.35062,,,,,159.0,145.35062,,,,
2015-10-06,152.0,142.99713,,,,,152.0,142.99713,,,,
2015-10-07,127.0,139.18158,,,,,127.0,139.18158,,,,
2015-10-08,130.0,128.11925,,,,,130.0,128.11925,,,,
2015-10-09,152.0,147.01697,,,,,152.0,147.01697,,,,
2015-10-10,103.0,118.64791,,,,,103.0,118.64791,,,,
2015-10-11,124.0,132.0862,,,,,124.0,132.0862,,,,
2015-10-12,159.0,149.81697,,,,,159.0,149.81697,,,,
2015-10-13,141.0,146.15344,,,,,141.0,146.15344,,,,
2015-10-14,130.0,131.74382,,,,,130.0,131.74382,,,,
2015-10-15,119.0,120.346504,,,,,119.0,120.346504,,,,
2015-10-16,133.0,152.96912,,,,,133.0,152.96912,,,,
2015-10-17,109.0,116.86284,,,,,109.0,116.86284,,,,
2015-10-18,125.0,123.45638,,,,,125.0,123.45638,,,,
2015-10-19,129.0,148.42587,,,,,129.0,148.42587,,,,
2015-10-20,156.0,139.39081,,,,,156.0,139.39081,,,,
2015-10-21,123.0,124.71229,,,,,123.0,124.71229,,,,
2015-10-22,111.0,120.48545,,,,,111.0,120.48545,,,,
2015-10-23,157.0,151.30824,,,,,157.0,151.30824,,,,
2015-10-24,112.0,118.77423,,,,,112.0,118.77423,,,,
2015-10-25,126.0,121.47012,,,,,126.0,121.47012,,,,
2015-10-26,126.0,138.89767,,,,,126.0,138.89767,,,,
2015-10-27,118.0,134.08981,,,,,118.0,134.08981,,,,
2015-10-28,106.0,119.70302,,,,,106.0,119.70302,,,,
2015-10-29,135.0,119.70031,,,,,135.0,119.70031,,,,
2015-10-30,125.0,140.95071,,,,,125.0,140.95071,,,,
2015-10-31,107.0,118.94977,,,,,107.0,118.94977,,,,
2015-11-01,116.0,112.84167,,,,,116.0,112.84167,,,,
2015-11-02,160.0,143.97348,,,,,160.0,143.97348,,,,
2015-11-03,137.0,143.2742,,,,,137.0,143.2742,,,,
2015-11-04,133.0,125.59476,,,,,133.0,125.59476,,,,
2015-11-05,127.0,125.65446,,,,,127.0,125.65446,,,,
2015-11-06,162.0,146.79878,,,,,162.0,146.79878,,,,
2015-11-07,112.0,116.047386,,,,,112.0,116.047386,,,,
2015-11-08,121.0,125.08671,,,,,121.0,125.08671,,,,
2015-11-09,141.0,139.31627,,,,,141.0,139.31627,,,,
2015-11-10,149.0,140.9285,,,,,149.0,140.9285,,,,
2015-11-11,125.0,122.02399,,,,,125.0,122.02399,,,,
2015-11-12,142.0,123.53839,,,,,142.0,123.53839,,,,
2015-11-13,167.0,146.3328,,,,,167.0,146.3328,,,,
2015-11-14,117.0,118.70809,,,,,117.0,118.70809,,,,
2015-11-15,117.0,121.90212,,,,,117.0,121.90212,,,,
2015-11-16,149.0,138.1514,,,,,149.0,138.1514,,,,
2015-11-17,147.0,140.20134,,,,,147.0,140.20134,,,,
2015-11-18,112.0,119.93099,,,,,112.0,119.93099,,,,
2015-11-19,133.0,129.56499,,,,,133.0,129.56499,,,,
2015-11-20,158.0,152.05768,,,,,158.0,152.05768,,,,
2015-11-21,123.0,119.161606,,,,,123.0,119.161606,,,,
2015-11-22,115.0,122.44346,,,,,115.0,122.44346,,,,
2015-11-23,152.0,146.73808,,,,,152.0,146.73808,,,,
2015-11-24,120.0,132.59024,,,,,120.0,132.59024,,,,
2015-11-25,118.0,118.327774,,,,,118.0,118.327774,,,,
2015-11-26,113.0,121.1032,,,,,113.0,121.1032,,,,
2015-11-27,130.0,138.93582,,,,,130.0,138.93582,,,,
2015-11-28,136.0,118.20236,,,,,136.0,118.20236,,,,
2015-11-29,123.0,120.35423,,,,,123.0,120.35423,,,,
2015-11-30,142.0,144.77972,,,,,142.0,144.77972,,,,
2015-12-01,141.0,138.32169,,,,,141.0,138.32169,,,,
2015-12-02,124.0,122.68167,,,,,124.0,122.68167,,,,
2015-12-03,116.0,125.19832,,,,,116.0,125.19832,,,,
2015-12-04,139.0,150.93988,,,,,139.0,150.93988,,,,
2015-12-05,118.0,123.14127,,,,,118.0,123.14127,,,,
2015-12-06,128.0,123.534805,,,,,128.0,123.534805,,,,
2015-12-07,139.0,141.97115,,,,,139.0,141.97115,,,,
2015-12-08,114.0,133.13608,,,,,114.0,133.13608,,,,
2015-12-09,129.0,124.205795,,,,,129.0,124.205795,,,,
2015-12-10,117.0,125.88073,,,,,117.0,125.88073,,,,
2015-12-11,151.0,145.96672,,,,,151.0,145.96672,,,,
2015-12-12,132.0,119.53216,,,,,132.0,119.53216,,,,
2015-12-13,126.0,121.59964,,,,,126.0,121.59964,,,,
2015-12-14,149.0,139.09137,,,,,149.0,139.09137,,,,
2015-12-15,128.0,128.27493,,,,,128.0,128.27493,,,,
2015-12-16,132.0,126.957985,,,,,132.0,126.957985,,,,
2015-12-17,105.0,117.158005,,,,,105.0,117.158005,,,,
2015-12-18,162.0,141.49867,,,,,162.0,141.49867,,,,
2015-12-19,128.0,123.97583,,,,,128.0,123.97583,,,,
2015-12-20,143.0,125.086075,,,,,143.0,125.086075,,,,
2015-12-21,127.0,135.82976,,,,,127.0,135.82976,,,,
2015-12-22,128.0,126.5391,,,,,128.0,126.5391,,,,
2015-12-23,98.0,113.14388,,,,,98.0,113.14388,,,,
2015-12-24,77.0,98.00132,,,,,77.0,98.00132,,,,
2015-12-25,123.0,119.17499,,,,,123.0,119.17499,,,,
2015-12-26,107.0,110.689514,,,,,107.0,110.689514,,,,
2015-12-27,119.0,120.580055,,,,,119.0,120.580055,,,,
2015-12-28,160.0,138.1481,,,,,160.0,138.1481,,,,
2015-12-29,131.0,126.88362,,,,,131.0,126.88362,,,,
2015-12-30,129.0,123.119286,,,,,129.0,123.119286,,,,
2015-12-31,77.0,98.80186,,,,,77.0,98.80186,,,,
2016-01-01,140.0,139.66719,,,,,140.0,139.66719,,,,
2016-01-02,130.0,123.11716,,,,,130.0,123.11716,,,,
2016-01-03,116.0,121.33933,,,,,116.0,121.33933,,,,
2016-01-04,116.0,131.23163,,,,,116.0,131.23163,,,,
2016-01-05,148.0,136.03372,,,,,148.0,136.03372,,,,
2016-01-06,129.0,126.4098,,,,,129.0,126.4098,,,,
2016-01-07,106.0,119.63557,,,,,106.0,119.63557,,,,
2016-01-08,153.0,148.04752,,,,,153.0,148.04752,,,,
2016-01-09,135.0,128.0012,,,,,135.0,128.0012,,,,
2016-01-10,138.0,132.85526,,,,,138.0,132.85526,,,,
2016-01-11,136.0,138.92247,,,,,136.0,138.92247,,,,
2016-01-12,130.0,136.23553,,,,,130.0,136.23553,,,,
2016-01-13,112.0,126.83059,,,,,112.0,126.83059,,,,
2016-01-14,130.0,123.50036,,,,,130.0,123.50036,,,,
2016-01-15,155.0,150.23174,,,,,155.0,150.23174,,,,
2016-01-16,112.0,122.436005,,,,,112.0,122.436005,,,,
2016-01-17,139.0,129.21684,,,,,139.0,129.21684,,,,
2016-01-18,117.0,127.57386,,,,,117.0,127.57386,,,,
2016-01-19,89.0,115.15132,,,,,89.0,115.15132,,,,
2016-01-20,120.0,116.81841,,,,,120.0,116.81841,,,,
2016-01-21,145.0,127.32018,,,,,145.0,127.32018,,,,
2016-01-22,151.0,143.44382,,,,,151.0,143.44382,,,,
2016-01-23,112.0,118.417206,,,,,112.0,118.417206,,,,
2016-01-24,120.0,126.15195,,,,,120.0,126.15195,,,,
2016-01-25,143.0,138.01396,,,,,143.0,138.01396,,,,
2016-01-26,159.0,138.92395,,,,,159.0,138.92395,,,,
2016-01-27,114.0,124.52895,,,,,114.0,124.52895,,,,
2016-01-28,127.0,127.10626,,,,,127.0,127.10626,,,,
2016-01-29,156.0,155.95808,,,,,156.0,155.95808,,,,
2016-01-30,134.0,124.07218,,,,,134.0,124.07218,,,,
2016-01-31,139.0,129.89229,,,,,139.0,129.89229,,,,
2016-02-01,144.0,137.52454,,,,,144.0,137.52454,,,,
2016-02-02,119.0,131.5326,,,,,119.0,131.5326,,,,
2016-02-03,134.0,126.35335,,,,,134.0,126.35335,,,,
2016-02-04,143.0,129.69377,,,,,143.0,129.69377,,,,
2016-02-05,168.0,160.7327,,,,,168.0,160.7327,,,,
2016-02-06,134.0,129.09943,,,,,134.0,129.09943,,,,
